HowlWater +Hidden, HardRock, DoubleTime, NightCore on 1/2/2016 11:54:01 PM
Count 300: 258
Count 100: 93
Count 50: 9
Count Geki: 15
Count Katu: 40
Count Miss: 0
Total Score: 4692634
Max Combo: 526
Is fullcombo: False
Mods: Hidden, HardRock, DoubleTime, NightCore
0(0): (76.15625,159.1489) None 0
12877(18): (259.2682,215.0986) None 8.34008265405494
12901(24): (263.1354,205.3721) None 10.46710112405
12925(24): (270.401,192.5107) None 14.7717496191435
12952(27): (279.2292,176.2437) None 18.508163119857
12976(24): (283.1875,167.9746) None 9.16767815428827
13000(24): (286.9896,158.6948) None 10.0284899546371
13027(27): (290.3099,149.708) None 9.5805568711668
13050(23): (292.3542,143.9146) None 6.1434942824481
13075(25): (294.7109,134.4956) None 9.70935230344797
13103(28): (294.8542,128.0649) None 6.43230582283667
13126(23): (294.8542,123.4067) None 4.65819549560547
13149(23): (294.6068,116.3535) None 7.05753651074186
13177(28): (292.4323,106.7222) None 9.87372391896286
13200(23): (290.9219,102.3643) None 4.61222025871036
13225(25): (288.7995,98.98047) None 3.99436421354379
13252(27): (287.1719,97.44971) None 2.23434412062088
13274(22): (286.3516,96.85645) None 1.0123551808497
13300(26): (285.5703,96.76123) None 0.787061983924331
13327(27): (285.5052,98.21875) None 1.45897374410982
13349(22): (285.5833,100.7529) None 2.53535313734413
13352(3): (286.3646,103.6826) K2 3.03208797728618
13375(23): (288.2135,109.2417) K2 5.85849993729978
13402(27): (294.4505,127.1128) K2 18.9281913404788
13426(24): (298.2917,138.5679) K2 12.0819722367699
13427(1): (298.7344,140.1572) None 1.64980498001504
13450(23): (304.138,158.8486) None 19.4568113063253
13477(27): (311.1823,174.9839) None 17.6059711656898
13501(24): (317.8229,182.9453) None 10.367319307535
13525(24): (328.9427,192.1738) None 14.4504241974617
13553(28): (332.1849,197.7842) None 6.47985616919668
13576(23): (333.0833,200.2378) None 2.61290611425068
13600(24): (333.0182,200.3403) None 0.121446300102579
13627(27): (332.1849,197.8135) None 2.66064837692271
13651(24): (331.3516,196.6636) None 1.42010067833234
13675(24): (330.5703,196.1143) None 0.955055494591307
13702(27): (330.1927,196.2827) None 0.413470051335318
13713(11): (330.1667,196.5464) K2 0.264981136373198
13722(9): (330.1667,196.5464) K2 0
13726(4): (330.1667,196.5464) K2 0
13750(24): (331.7943,199.7837) K2 3.62343803463743
13777(27): (335.1016,202.2739) K2 4.13994566851377
13799(22): (338.5,204.2368) K2 3.92455978764338
13825(26): (345.8828,206.9028) K2 7.8494253523932
13852(27): (357.0938,209.9424) K2 11.6157494544413
13876(24): (363.3698,211.583) K2 6.48688974112915
13900(24): (372.276,213.3188) K2 9.07376635660903
13928(28): (382.4844,215.062) K2 10.3561696885017
13951(23): (389.4896,216.3071) K2 7.11497980067685
13975(24): (401.9635,218.7388) K2 12.70871907596
14003(28): (407.7708,220.4526) K2 6.05491571611564
14025(22): (410.4662,221.522) K2 2.89976695255792
14050(25): (412.9141,222.5327) K2 2.64834919138934
14077(27): (417.3542,221.6025) K2 4.53648745564045
14099(22): (420.3229,219.6323) K2 3.56300179201351
14102(3): (421.7943,218.7827) K2 1.69907119407645
14125(23): (426.026,216.6074) K2 4.75805581383642
14152(27): (432.0417,212.9746) K2 7.02750347803046
14176(24): (435.5703,209.8472) K2 4.71506110907995
14200(24): (441.7162,201.0508) K2 10.7307248246527
14227(27): (446.5599,193.5142) K2 8.9588959106151
14251(24): (451.2083,187.9771) K2 7.22961048085866
14275(24): (458.8776,181.9858) K2 9.7320900466613
14302(27): (468.1094,174.9766) K2 11.5911709227695
14327(25): (470.987,170.9775) K2 4.92679874331803
14350(23): (472.4713,166.2681) K2 4.93777298420237
14378(28): (472.5755,161.2217) K2 5.0474773751173
14400(22): (472.4583,158.0649) K2 3.15897369951369
14424(24): (469.8021,150.792) K2 7.74276465287788
14452(28): (467.6537,144.2075) K2 6.9261341748678
14476(24): (465.7526,139.3882) K2 5.18071978931854
14484(8): (464.763,137.3228) K2 2.29023340250574
14501(17): (462.888,133.0967) K2 4.62337390251048
14527(26): (459.5547,125.5894) K2 8.2140388478202
14551(24): (457.901,122.5278) K2 3.47966550596244
14574(23): (455.8698,118.873) K2 4.18130298886277
14602(28): (453.5521,115.1523) K2 4.38354318066878
14624(22): (452.0417,112.9624) K2 2.66025762799809
14650(26): (447.3932,107.894) K2 6.87730102654779
14676(26): (443.4609,104.8472) K2 4.97451707247823
14701(25): (440.5833,102.9063) K2 3.47096829557417
14725(24): (436.1823,100.2183) K2 5.15695381276259
14751(26): (429.8542,96.74658) K2 7.21789378820584
14776(25): (426.2083,95.16455) K2 3.97432010169701
14800(24): (420.8047,93.65576) K2 5.61031307974184
14828(28): (413.9688,92.71094) K2 6.90086225387388
14830(2): (413.3438,92.65967) K2 0.627099326131511
14851(21): (409.112,92.5791) K2 4.23257837679522
14866(15): (400.2708,92.83545) K2 8.84490210590698
14875(9): (398.5,92.88672) K2 1.77155502435012
14903(28): (387.4063,97.10547) K2 11.8687735849664
14926(23): (379.9193,101.2656) K2 8.56515448060189
14950(24): (368.8776,109.4395) K2 13.7379807367389
14977(27): (334.2552,137.396) K2 44.5003003686748
15001(24): (316.1042,153.2529) K2 24.1018715376686
15025(24): (293.6172,173.563) K2 30.3012456272856
15052(27): (278.1745,189.2808) K2 22.0346539222579
15070(18): (272.0938,196.3853) None 9.35139463348909
15075(5): (271.8333,196.627) None 0.355355800248216
15100(25): (265.5182,202.0835) None 8.34590673378229
15128(28): (259.724,202.2153) None 5.79568840496328
15151(23): (253.6302,201.937) None 6.10014759386948
15175(24): (245.2578,198.4653) None 9.06365534026086
15202(27): (241.0391,191.3608) None 8.26265643609088
15226(24): (241.3776,190.4087) None 1.01047183673541
15252(26): (242.8099,192.1885) None 2.28455842916898
15258(6): (242.9792,193.0308) K2 0.859145630495139
15277(19): (243.4349,194.6714) K2 1.70270847480315
15301(24): (244.724,196.9858) K2 2.64918318609718
15325(24): (249.6328,204.1929) K2 8.72001714980017
15352(27): (255.1016,211.8027) K2 9.37106277154652
15376(24): (260.5573,219.0464) K2 9.06840847108334
15400(24): (269.75,230.8164) K2 14.9344739788062
15427(27): (281.4688,248.5996) K2 21.2972369748438
15451(24): (287.7188,257.9307) K2 11.2308475132905
15475(24): (296.026,268.0454) K2 13.0888072760453
15502(27): (304.125,277.0908) K2 12.141362278976
15524(22): (309.151,282.5547) K2 7.42393857382759
15550(26): (318.9688,292.5522) K2 14.0121144650161
15577(27): (324.4115,297.4009) K2 7.28923730631666
15601(24): (328.2787,300.77) K2 5.12892156723594
15625(24): (332.1458,304.6738) K2 5.49494209539384
15631(6): (332.9401,305.3696) K2 1.05594556841586
15652(21): (334.4766,306.8052) K2 2.10280748541743
15676(24): (335.6224,308.0796) K2 1.71375051383848
15700(24): (336.6901,310.2695) K2 2.43632250341446
15727(27): (336.612,311.7783) K2 1.51080878449404
15749(22): (336.026,312.4741) K2 0.909688413905212
15775(26): (331.8854,312.4595) K2 4.14062017820635
15802(27): (327.237,310.98) K2 4.87817431085667
15822(20): (323.5912,309.0903) K2 4.10645275591562
15826(4): (323.1484,308.8413) K2 0.507987397592921
15850(24): (316.2213,304.5933) K2 8.12590102153865
15877(27): (306.7682,298.2358) K2 11.3920657134057
15900(23): (302.1068,294.5151) K2 5.96423229288646
15925(25): (297.1719,290.1646) K2 6.57876118114529
15952(27): (292.7188,285.3452) K2 6.56175568346036
15976(24): (289.8021,281.2363) K2 5.03889293403839
16000(24): (283.3438,271.2388) K2 11.9020741850099
16012(12): (281.625,268.7119) K2 3.05605369103299
16028(16): (277.3672,262.728) K2 7.34412913669014
16051(23): (273.5,257.2642) K2 6.69390146555398
16075(24): (269.3594,252.291) K2 6.47125524945818
16103(28): (265.4401,247.5742) K2 6.13263202693262
16126(23): (263.0443,243.9268) K2 4.3638629326029
16149(23): (259.8281,238.9829) K2 5.89798992910988
16177(28): (256.1693,232.7134) K2 7.25901730090188
16199(22): (254.0208,228.5313) K2 4.70170803594876
16225(26): (249.8542,219.3174) K2 10.1121920787964
16252(27): (247.25,213.9268) K2 5.98668341735516
16274(22): (245.4141,210.3599) K2 4.01165799868108
16300(26): (242.4323,204.9033) K2 6.21815645486755
16327(27): (239.2813,199.564) K2 6.19976089421769
16349(22): (237.7188,197.1323) K2 2.89042889793308
16358(9): (236.9635,195.8579) K2 1.48140559790757
16375(17): (235.8828,194.2832) K2 1.90986249291906
16394(19): (234.8542,192.7085) K2 1.88088007273828
16402(8): (234.5807,192.2983) K2 0.493018408549175
16424(22): (233.7604,191.1118) K2 1.44244688393126
16450(26): (232.849,187.7354) K2 3.49725124295351
16477(27): (233.3698,183.0918) K2 4.67271393764606
16501(24): (235.8568,177.2251) K2 6.37207393982298
16525(24): (244.724,166.7002) K2 13.7622982859314
16552(27): (257.8359,156.6733) K2 16.5063890328627
16576(24): (275.8438,145.6211) K2 21.1290260122904
16579(3): (280.5313,142.4204) None 5.67601351254953
16600(21): (286.9766,137.1763) None 8.30916305137823
16628(28): (295.7917,128.1528) None 12.6146505278387
16650(22): (300.974,121.7954) None 8.20200461255532
16675(25): (308.8516,111.1094) None 13.275811925236
16702(27): (310.5703,106.4878) None 4.93083747152073
16724(22): (309.6458,105.1694) None 1.61023953904748
16750(26): (305.7917,104.9424) K2 3.86080539725271
16750(0): (305.5573,104.9424) K2 0
16777(27): (301.1042,104.9424) K2 4.6875
16801(24): (295.4271,104.9424) K2 5.67709350585938
16825(24): (288.7213,104.9424) K2 6.70578002929688
16853(28): (282.4193,104.9424) K2 6.302001953125
16874(21): (277.7708,104.9424) K2 4.64849853515625
16900(26): (267.5495,104.9424) K2 10.2213134765625
16927(27): (260.4271,104.9424) K2 7.12240600585938
16951(24): (254.3464,104.9277) K2 6.08070624954004
16975(24): (244.3724,104.5981) K2 9.97944342204692
17002(27): (232.0417,104.1367) K2 12.3393330532226
17026(24): (225.8177,104.0195) K2 6.2251024353354
17050(24): (217.0547,104.0195) K2 8.76300048828125
17077(27): (209.0599,104.0342) K2 7.99481027072252
17099(22): (204.151,104.1001) K2 4.90934728332586
17125(26): (193.5521,104.8545) K2 10.6257217257235
17152(27): (186.6641,105.5942) K2 6.92760472934902
17159(7): (185.2969,105.748) K2 1.37581117773949
17174(15): (182.5885,106.085) K2 2.72928979777783
17200(26): (176.1693,107.0005) K2 6.48416051171018
17227(27): (168.2396,108.9414) K2 8.16377728484271
17251(24): (164.0339,110.6992) K2 4.55825553529142
17275(24): (159.1771,113.7095) K2 5.7140635587435
17301(26): (154.0599,118.6973) K2 7.14589131718411
17313(12): (151.5208,122.1396) K2 4.27743994480689
17326(13): (151.0651,122.938) K2 0.919298568394208
17349(23): (145.375,134.7153) K2 13.079828638858
17350(1): (145.1927,135.228) K2 0.544140229709383
17378(28): (140.4922,148.668) K2 14.2382713299522
17401(23): (137.6406,158.7095) K2 10.4385569146832
17425(24): (134.5417,170.7651) K2 12.4475177161537
17452(27): (124.9063,208.0234) K2 38.484047193465
17476(24): (119.7891,225.7773) K2 18.4766449714866
17491(15): (115.3229,243.729) None 18.4989379222356
17500(9): (114.737,246.8711) None 3.1962488385723
17527(27): (110.9479,267.3716) None 20.8477469941957
17551(24): (108.0964,283.7192) None 16.5944246634943
17575(24): (104.3333,304.0293) None 20.6557652687943
17602(27): (101.2214,313.8657) None 10.3169082308843
17626(24): (99.07291,318.0698) None 4.72127981801076
17649(23): (96.89844,323.4751) None 5.82628751893195
17678(29): (98.77344,329.5029) None 6.3126869151119
17701(23): (100.9219,330.4038) None 2.32970380725455
17719(18): (102.3542,330.4038) K2 1.43230438232422
17725(6): (102.4193,329.5542) K2 0.85209935932441
17752(27): (102.0807,324.3174) K2 5.2477205856151
17776(24): (99.00781,315.6602) K2 9.18641563934248
17800(24): (89.07291,294.1782) K2 23.6680892887791
17807(7): (88.29166,292.5083) None 1.84360752550327
17827(20): (73.1875,260.5601) None 35.3387007727452
17849(22): (61.03906,235.4453) None 27.8986988416297
17875(26): (48.5,213.7949) None 25.0193406573505
17890(15): (43.29167,207.1665) K2 8.42985205176509
17902(12): (41.37761,205.2549) K2 2.70515657997147
17928(26): (39.82813,203.9731) K2 2.01094483166607
17950(22): (39.63281,202.6255) K2 1.36167647259416
17977(27): (41.57292,202.4058) K2 1.95251250119716
17999(22): (43.35677,202.4058) K2 1.78384780883789
18025(26): (68.20052,215.3257) K2 28.0024230432452
18052(27): (90.38802,232.1201) K2 27.8269137874636
18074(22): (110.2708,245.6626) K2 24.0566811198847
18079(5): (123.2396,253.7778) None 15.2985749475176
18100(21): (139.9453,262.9917) None 19.0781601131826
18126(26): (173.8906,277.8965) None 37.0733965946601
18149(23): (189.2813,283.2212) None 16.2857565465869
18175(26): (205.3099,289.4688) None 17.2031711296632
18202(27): (214.8932,293.2993) None 10.3204715481176
18225(23): (219.8021,295.5991) None 5.42091324221696
18250(25): (223.9688,299.0415) None 5.40477727072583
18250(0): (223.9688,299.0415) K2 0
18277(27): (225.1146,300.5576) K2 1.90035769875369
18301(24): (225.6224,301.29) K2 0.891243702998661
18304(3): (225.7526,301.3779) K2 0.157078560776477
18325(21): (227.1979,302.1323) K2 1.63034945071177
18353(28): (231.3906,303.751) K2 4.49431480541005
18376(23): (234.8151,304.8643) K2 3.60091544573925
